market_slug,title,status,side_label,token_id,slot_start_utc,slot_end_utc,timestamp_ms,timestamp_utc,indexed_at_ms,indexed_at_utc,hash,asset_id,market,min_order_size,tick_size,neg_risk,bid_1_price,bid_1_size,bid_2_price,bid_2_size,bid_3_price,bid_3_size,bid_4_price,bid_4_size,bid_5_price,bid_5_size,ask_1_price,ask_1_size,ask_2_price,ask_2_size,ask_3_price,ask_3_size,ask_4_price,ask_4_size,ask_5_price,ask_5_size,btc_price,btc_price_timestamp,btc_price_timestamp_utc,btc_price_match
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040400321,2026-03-20T21:00:00.321000+00:00,1774040400459,2026-03-20T21:00:00.459000+00:00,75e18ca78452056f09f6aa2691b199d9d28c991f,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.49,26.12,0.48,5,0.47,6,0.46,94.24,0.45,80,0.51,48.25,0.52,144.09,0.53,43,0.54,148.99,0.55,90,70044.32394088797,1774040400000,2026-03-20T21:00:00+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040400741,2026-03-20T21:00:00.741000+00:00,1774040400828,2026-03-20T21:00:00.828000+00:00,fbf9727621b5028557f7857a0637812106c5de29,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.48,5,0.47,11,0.46,94.24,0.45,80,0.4,15,0.49,18.88,0.51,48.25,0.52,144.09,0.53,43,0.54,161.42,70044.32394088797,1774040400000,2026-03-20T21:00:00+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040401117,2026-03-20T21:00:01.117000+00:00,1774040401344,2026-03-20T21:00:01.344000+00:00,3dbb53372817bddc396467b761a43ac33bb09bce,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.48,5,0.47,11,0.46,94.24,0.45,80,0.41,5,0.49,13.88,0.51,53.25,0.52,144.09,0.53,35,0.54,161.42,70044.10919730412,1774040401000,2026-03-20T21:00:01+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040401331,2026-03-20T21:00:01.331000+00:00,1774040401627,2026-03-20T21:00:01.627000+00:00,60d34aa03dc8c4fb35bc67e78e48402616ab4264,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.49,10,0.48,20,0.47,23,0.46,94.24,0.45,90,0.51,47.25,0.52,144.09,0.53,35,0.54,161.42,0.55,95,70044.10919730412,1774040401000,2026-03-20T21:00:01+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040401603,2026-03-20T21:00:01.603000+00:00,1774040402634,2026-03-20T21:00:02.634000+00:00,4306dfeb29a59fdde8b0edb0c24e6bf1370eda2a,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.49,105,0.48,105,0.47,111,0.46,194.24,0.45,190,0.51,15.25,0.52,144.09,0.53,43,0.54,161.42,0.55,133,70044.10919730412,1774040401000,2026-03-20T21:00:01+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040401616,2026-03-20T21:00:01.616000+00:00,1774040402634,2026-03-20T21:00:02.634000+00:00,0e13686bec9308f422a9abfc76381617902407f5,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.49,105,0.48,105,0.47,111,0.46,194.24,0.45,290,0.52,143.04,0.53,43,0.54,161.42,0.55,133,0.56,23,70044.10919730412,1774040401000,2026-03-20T21:00:01+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040401624,2026-03-20T21:00:01.624000+00:00,1774040402634,2026-03-20T21:00:02.634000+00:00,e59903fc8d46b79c3078aaa4183545d2d67d1406,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.49,105,0.48,105,0.47,111,0.46,194.24,0.45,290,0.52,126.11,0.53,43,0.54,161.42,0.55,133,0.56,23,70044.10919730412,1774040401000,2026-03-20T21:00:01+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040401631,2026-03-20T21:00:01.631000+00:00,1774040402635,2026-03-20T21:00:02.635000+00:00,1073dc3f87eb7a25a4cbfd5b374b09665497b1fc,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.49,105,0.48,105,0.47,111,0.46,189.16,0.45,290,0.52,115.72,0.53,43,0.54,161.42,0.55,133,0.56,23,70044.10919730412,1774040401000,2026-03-20T21:00:01+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040401638,2026-03-20T21:00:01.638000+00:00,1774040402635,2026-03-20T21:00:02.635000+00:00,1293d1d500047a0de40a2ef831d23cec7ea9ea55,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.49,105,0.48,105,0.47,111,0.46,189.16,0.45,298,0.52,99.41,0.53,43,0.54,161.42,0.55,133,0.56,23,70044.10919730412,1774040401000,2026-03-20T21:00:01+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040401684,2026-03-20T21:00:01.684000+00:00,1774040404285,2026-03-20T21:00:04.285000+00:00,0a1808f2e4cfc8fca0f8029b846781e98a1d41b7,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.5,15,0.49,120,0.48,105,0.47,111,0.46,225.16,0.52,91.41,0.53,51,0.54,167.42,0.55,148,0.56,46,70044.10919730412,1774040401000,2026-03-20T21:00:01+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040401692,2026-03-20T21:00:01.692000+00:00,1774040404285,2026-03-20T21:00:04.285000+00:00,8e2a239120c7e4d507134eaec85824a4a39cf97c,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.5,15,0.49,120,0.48,105,0.47,111,0.46,225.16,0.52,80.83,0.53,51,0.54,167.42,0.55,148,0.56,46,70044.10919730412,1774040401000,2026-03-20T21:00:01+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040401723,2026-03-20T21:00:01.723000+00:00,1774040404286,2026-03-20T21:00:04.286000+00:00,9b3f36cc8566d4ef76bd21d331aef19ec78d89c0,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.5,15,0.49,120,0.48,105,0.47,134,0.46,233.16,0.52,48.83,0.53,59,0.54,175.42,0.55,134,0.56,46,70044.10919730412,1774040401000,2026-03-20T21:00:01+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040401739,2026-03-20T21:00:01.739000+00:00,1774040404415,2026-03-20T21:00:04.415000+00:00,2fc0bee8ba659a33941ff5e55bbf1062dcb535fe,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.5,15,0.49,120,0.48,115,0.47,134,0.46,233.16,0.52,42.83,0.53,59,0.54,175.42,0.55,134,0.56,54,70044.10919730412,1774040401000,2026-03-20T21:00:01+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040401783,2026-03-20T21:00:01.783000+00:00,1774040404416,2026-03-20T21:00:04.416000+00:00,b8d1db2d3205d8913580a14db7f2c1716e6b97db,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.51,20,0.5,15,0.49,180,0.48,215,0.47,134,0.53,45.83,0.54,175.42,0.55,134,0.56,54,0.57,124,70044.10919730412,1774040401000,2026-03-20T21:00:01+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040401787,2026-03-20T21:00:01.787000+00:00,1774040404416,2026-03-20T21:00:04.416000+00:00,c2954cb6f5f8f2b21b61878e53ca516eb1bbb8e9,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.51,15,0.5,15,0.49,180,0.48,215,0.47,134,0.53,45.83,0.54,175.42,0.55,134,0.56,54,0.57,124,70044.10919730412,1774040401000,2026-03-20T21:00:01+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040402087,2026-03-20T21:00:02.087000+00:00,1774040404753,2026-03-20T21:00:04.753000+00:00,73988f1946514ff5197db352ed9e81718b4383b2,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.51,35,0.5,43,0.49,170,0.48,289,0.47,150,0.52,6,0.53,37.83,0.54,175.42,0.55,134,0.56,60,70044.56780763192,1774040402000,2026-03-20T21:00:02+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040402988,2026-03-20T21:00:02.988000+00:00,1774040404942,2026-03-20T21:00:04.942000+00:00,9a1fa2ec7b44511e3c73b9005b673f7d3ef06c3e,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.51,170,0.5,143,0.49,194,0.48,189,0.47,250,0.52,7.47,0.53,16.83,0.54,171.34,0.55,129,0.56,80,70044.56780763192,1774040402000,2026-03-20T21:00:02+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040403218,2026-03-20T21:00:03.218000+00:00,1774040404963,2026-03-20T21:00:04.963000+00:00,99a5cdf59fd6c13dd1eeb0d265cb1b88732275d9,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.51,183.95,0.5,159,0.49,194,0.48,189,0.47,250,0.52,7.47,0.53,16.83,0.54,163.34,0.55,129,0.56,80,70053.27922910854,1774040403000,2026-03-20T21:00:03+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040403316,2026-03-20T21:00:03.316000+00:00,1774040404965,2026-03-20T21:00:04.965000+00:00,8b147ad65503e6ba67d7944056ce2fce0fe913cb,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.51,163.95,0.5,159,0.49,194,0.48,189,0.47,250,0.52,7.47,0.53,16.83,0.54,163.34,0.55,129,0.56,80,70053.27922910854,1774040403000,2026-03-20T21:00:03+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040403337,2026-03-20T21:00:03.337000+00:00,1774040404965,2026-03-20T21:00:04.965000+00:00,380424cc1e3fca6bbd22e6f52940ab0010775372,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.51,113.95,0.5,159,0.49,194,0.48,189,0.47,250,0.52,7.47,0.53,1.83,0.54,163.34,0.55,129,0.56,80,70053.27922910854,1774040403000,2026-03-20T21:00:03+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040403512,2026-03-20T21:00:03.512000+00:00,1774040405016,2026-03-20T21:00:05.016000+00:00,175c5e630a240c2cd9fee8f5e61f84272bad3c94,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.51,71,0.5,76,0.49,77,0.48,59,0.47,50,0.52,7.47,0.53,1.83,0.54,191.34,0.55,115,0.56,56,70053.27922910854,1774040403000,2026-03-20T21:00:03+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040403642,2026-03-20T21:00:03.642000+00:00,1774040405079,2026-03-20T21:00:05.079000+00:00,29acb1a268fa8a70ec401be4106917b02adecd56,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.51,383,0.5,300,0.49,201,0.48,159,0.47,50,0.54,138.17,0.55,95,0.56,21,0.57,125,0.58,135,70053.27922910854,1774040403000,2026-03-20T21:00:03+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040403656,2026-03-20T21:00:03.656000+00:00,1774040405080,2026-03-20T21:00:05.080000+00:00,464c702d89b20adde726c2412a30f53fb66a6972,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.51,398,0.5,300,0.49,201,0.48,159,0.47,50,0.54,98.17,0.55,95,0.56,21,0.57,125,0.58,135,70053.27922910854,1774040403000,2026-03-20T21:00:03+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040403665,2026-03-20T21:00:03.665000+00:00,1774040405080,2026-03-20T21:00:05.080000+00:00,0e5d69ead38a44f35d92c35626af4388f2be51b8,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.51,398,0.5,300,0.49,201,0.48,159,0.47,50,0.54,82.17,0.55,95,0.56,21,0.57,125,0.58,135,70053.27922910854,1774040403000,2026-03-20T21:00:03+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040403688,2026-03-20T21:00:03.688000+00:00,1774040405081,2026-03-20T21:00:05.081000+00:00,f13780575722c477e773b6d8e839ae389e46fef8,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.51,398,0.5,300,0.49,201,0.48,159,0.47,50,0.54,57.63,0.55,95,0.56,21,0.57,125,0.58,135,70053.27922910854,1774040403000,2026-03-20T21:00:03+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040403692,2026-03-20T21:00:03.692000+00:00,1774040405081,2026-03-20T21:00:05.081000+00:00,c5a0fffdc154eaf4267b8669e2304cc2742f67c2,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.51,398,0.5,300,0.49,201,0.48,159,0.47,50,0.54,47.63,0.55,95,0.56,21,0.57,125,0.58,135,70053.27922910854,1774040403000,2026-03-20T21:00:03+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040403699,2026-03-20T21:00:03.699000+00:00,1774040405094,2026-03-20T21:00:05.094000+00:00,ae4dd7027f2637c499585e009b0e1bea1593b092,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.51,398,0.5,300,0.49,201,0.48,159,0.47,50,0.54,7.63,0.55,95,0.56,21,0.57,125,0.58,135,70053.27922910854,1774040403000,2026-03-20T21:00:03+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040403712,2026-03-20T21:00:03.712000+00:00,1774040405096,2026-03-20T21:00:05.096000+00:00,7dee249d84bcd2089b4c94fd11d53ba073ee4f00,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.52,10,0.51,398,0.5,300,0.49,201,0.48,159,0.55,62.63,0.56,21,0.57,125,0.58,135,0.59,154.63,70053.27922910854,1774040403000,2026-03-20T21:00:03+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040403716,2026-03-20T21:00:03.716000+00:00,1774040405096,2026-03-20T21:00:05.096000+00:00,357456ae9b599bc6352fc2c961a0b2b56cf5d6c1,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.52,10,0.51,398,0.5,300,0.49,201,0.48,159,0.55,52.63,0.56,21,0.57,125,0.58,135,0.59,154.63,70053.27922910854,1774040403000,2026-03-20T21:00:03+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040403758,2026-03-20T21:00:03.758000+00:00,1774040405097,2026-03-20T21:00:05.097000+00:00,8055b78321d12b9254444cad0cdabbbc7d0fa211,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.52,10,0.51,398,0.5,300,0.49,201,0.48,159,0.55,38.23,0.56,21,0.57,125,0.58,135,0.59,154.63,70053.27922910854,1774040403000,2026-03-20T21:00:03+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040403776,2026-03-20T21:00:03.776000+00:00,1774040405097,2026-03-20T21:00:05.097000+00:00,9343334add82828482e3695f69a1de7e9485fcc6,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.55,61.77,0.53,20,0.52,30,0.51,403,0.5,300,0.56,21,0.57,125,0.58,135,0.59,154.63,0.6,160,70053.27922910854,1774040403000,2026-03-20T21:00:03+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040403828,2026-03-20T21:00:03.828000+00:00,1774040405097,2026-03-20T21:00:05.097000+00:00,d46d44b1790d1aeb318a21b602c5028b0aa6474e,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.55,61.77,0.53,20,0.52,30,0.51,403,0.5,300,0.56,3,0.57,125,0.58,135,0.59,154.63,0.6,160,70053.27922910854,1774040403000,2026-03-20T21:00:03+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040403894,2026-03-20T21:00:03.894000+00:00,1774040405114,2026-03-20T21:00:05.114000+00:00,689f6e802afdc356c3eeabda28c2d507d45dbd46,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.55,61.77,0.54,100,0.53,40,0.52,130,0.51,385.63,0.57,125,0.58,135,0.59,169.63,0.6,160,0.61,183,70053.27922910854,1774040403000,2026-03-20T21:00:03+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040404369,2026-03-20T21:00:04.369000+00:00,1774040405219,2026-03-20T21:00:05.219000+00:00,4d10d50520c29f1854332c59d1fe575c32bca3a4,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.56,35,0.55,71.77,0.54,116,0.53,134,0.52,144,0.57,122.96,0.58,135,0.59,169.63,0.6,190,0.61,183,70059.32,1774040404000,2026-03-20T21:00:04+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040404410,2026-03-20T21:00:04.410000+00:00,1774040405220,2026-03-20T21:00:05.220000+00:00,504a56197584f04a0110e3066cf571ad5a282e1d,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.56,25,0.55,138.27,0.54,116,0.53,124,0.52,144,0.57,114.96,0.58,135,0.59,154.63,0.6,190,0.61,168,70059.32,1774040404000,2026-03-20T21:00:04+00:00,prev_or_exact
btc-updown-15m-1774040400,"Bitcoin Up or Down - March 20, 5:00PM-5:15PM ET",closed,Up,61197023240153668249945961697491545226203406356671499310767561484729530626269,2026-03-20T21:00:00+00:00,2026-03-20T21:15:00+00:00,1774040404577,2026-03-20T21:00:04.577000+00:00,1774040405248,2026-03-20T21:00:05.248000+00:00,c9a780432f904875d6aa7c12a1be2782fab6d0a9,61197023240153668249945961697491545226203406356671499310767561484729530626269,0x522e216a9854ed284452714408c6fc602721b249a6ebea9e533fbd5917ab75cc,0,0.01,False,0.56,8,0.55,135.27,0.54,139,0.53,124,0.52,144,0.57,142.46,0.58,135,0.59,154.63,0.6,183,0.61,206,70059.32,1774040404000,2026-03-20T21:00:04+00:00,prev_or_exact
